11111111111111111111111111111111
1    44                       31
1    44                        1
1111111111          111111111111
1                      5       1
1            4                 1
1111111111 111111111 11111111  1
1    3                         1
1         U                    1
1111111111 111111111           1
1                311111111111111
1                 11           1
1   5                          1
1 11111 1  111111111111111111  1
1 11111111 1         3         1
1          1           111111111
1          1         111       1
1          111111111111        1
1 2                            1
11111111111111111111111111111111
