11111111111111111111111111111111
1     4                        1
1     4        44              1
1   11111     1111             1
1          44   4              1
1          11   4              1
11            1111             1
1             1111             1
1             1111             1
1     111     1111           4 1
1      11     1111     11   1111
1       3     3  3           111
1                             11
1             4  4     5      31
1             4  4U    5       1
1             4  4     5       1
12UU       55 4  4 1111111111111
1111  9   11  4  4 1111111111111
18           U4  4            81
11111111111111111111111111111111
