11111111111111111111111111111111
1C   9   2                     1
1 111111111111c111111111111111 1
1c             1               1
11111111111111 1 111111111111111
1C            C1               1
1 1111111111111111111111111111 1
1c            c1               1
11111111111111 1 111111111111111
1C            C1               1
1 1111111111111111111111111111 1
1c            c1               1
11111111111111 1 111111111111111
1C            C1               1
1 1111111111111111111111111111 1
1c            c1               1
11111111111111 1 111111111111111
1 3            1   1   1    1 31
18               1   1   44    1
11111111111111111111111111111111
